Date,Upright-Pct Volatility-21,Inverted-Pct Volatility-21,Reflecting-Pct Volatility-21,Upright-Markets Money-21,Inverted-Markets Money-21,Reflecting-Markets Money-21,Upright-MultiTier-21,Inverted-MultiTier-21,Reflecting-MultiTier-21,Upright-Pct Volatility-45,Inverted-Pct Volatility-45,Reflecting-Pct Volatility-45,Upright-Markets Money-45,Inverted-Markets Money-45,Reflecting-Markets Money-45,Upright-MultiTier-45,Inverted-MultiTier-45,Reflecting-MultiTier-45
1993-06-30,,,,,,,,,,,,,,,,,,
1993-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993-07-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993-07-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993-07-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993-07-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993-07-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993-07-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993-07-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993-07-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993-07-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993-07-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993-07-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993-07-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993-07-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993-07-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993-07-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993-07-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993-07-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993-07-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993-07-29,4.7540176080588617e-07,5.253447257665596e-06,4.7540176080588617e-07,-2.0254259486448176e-06,1.8103919665983053e-06,-2.0254259486448176e-06,-6.122953702147882e-06,-2.2160794375373587e-06,-6.122953702147882e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993-07-30,-8.114227267738508e-05,-4.686163126440546e-05,-8.114227267738508e-05,-0.00010901615055732098,-5.8795825998921485e-05,-0.00010901615055732098,-0.00016224117880550744,-8.36112054260707e-05,-0.00016224117880550744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993-08-02,5.4564852920509686e-05,2.551227103358237e-05,5.4564852920509686e-05,7.344390182415506e-05,3.338651863074767e-05,7.344390182415506e-05,0.00011208226237908366,5.094344258799547e-05,0.00011208226237908366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993-08-03,3.2158661635661724e-05,1.678374131892646e-05,3.2158661635661724e-05,5.1287779023293883e-05,2.6331279585445343e-05,5.1287779023293883e-05,7.796890885165552e-05,4.072541047270839e-05,7.796890885165552e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993-08-04,-7.532344386033489e-06,-1.5438841923361608e-05,-7.532344386033489e-06,-1.7925345088953827e-05,-3.795398540472987e-05,-1.7925345088953827e-05,-2.654839377904672e-05,-5.726835250469871e-05,-2.654839377904672e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993-08-05,-4.8320255469850676e-05,-4.564625648170543e-05,-4.8320255469850676e-05,-9.400829567374943e-05,-7.744226153925116e-05,-9.400829567374943e-05,-0.00014298432253706156,-0.00011846710912360263,-0.00014298432253706156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993-08-06,0.00015685947613298669,0.00010737174145202625,0.00015685947613298669,9.114645487489452e-05,7.459338525152755e-05,9.114645487489452e-05,0.00013935807652510162,0.00011414584822700598,0.00013935807652510162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993-08-09,0.0003560105995825532,0.0002867565862438748,0.0003560105995825532,0.00041589004503349937,0.00035275620336420175,0.00041589004503349937,0.0006329172932979003,0.0005379156016298643,0.0006329172932979003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993-08-10,-0.00018360778455577635,-0.0001816984882809088,-0.00018360778455577635,-0.00021199466524379762,-0.00020903680191141453,-0.00021199466524379762,-0.0003215546421574807,-0.0003182663966249481,-0.0003215546421574807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993-08-11,0.0001807438250718089,0.00017515913918638346,0.0001807438250718089,0.00022084490754962957,0.00020931438017481133,0.00022084490754962957,0.00033673719219612006,0.0003193661680318649,0.00033673719219612006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993-08-12,-0.00014036998389340693,-0.00012972753901227356,-0.00014036998389340693,-0.00016201118950223136,-0.0001530571562180653,-0.00016201118950223136,-0.0002468093320112404,-0.00023326117727330656,-0.0002468093320112404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993-08-13,-0.00019331785909171284,-0.00020877831743394785,-0.0001745427373454437,-4.956524192582708e-05,-6.558416985035972e-05,-3.766322462417371e-05,-7.56369959514521e-05,-0.00010046622968438909,-5.748890465108551e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993-08-16,0.0005986927754515591,0.0005870329019883861,0.0007583105782734652,0.0005041468216318457,0.0004977247124489252,0.0006049264847751849,0.0007680683639287644,0.0007589702383992074,0.0009222985945716059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
